,worker_id,label,reward,value_surplus,seq_length,front_amount
144,435115,0,reward_12m_105,55,12m,105
145,435116,0,reward_12m_105,95,12m,105
146,435117,0,reward_12m_105,65,12m,105
147,435118,0,reward_12m_105,60,12m,105
148,435119,1,reward_12m_105,45,12m,105
149,435120,0,reward_12m_105,80,12m,105
150,435121,0,reward_12m_105,75,12m,105
151,435122,0,reward_12m_105,60,12m,105
152,435123,1,reward_12m_105,35,12m,105
153,435124,1,reward_12m_105,55,12m,105
154,435130,0,reward_12m_105,45,12m,105
155,435131,0,reward_12m_105,55,12m,105
156,435132,1,reward_12m_105,0,12m,105
157,434923,0,reward_12m_185,65,12m,185
158,434926,0,reward_12m_185,60,12m,185
159,434927,0,reward_12m_185,65,12m,185
160,434928,1,reward_12m_185,15,12m,185
161,434930,0,reward_12m_185,60,12m,185
162,434931,0,reward_12m_185,60,12m,185
163,434932,0,reward_12m_185,0,12m,185
164,434934,0,reward_12m_185,50,12m,185
165,434935,1,reward_12m_185,35,12m,185
166,434936,1,reward_12m_185,15,12m,185
167,434937,1,reward_12m_185,0,12m,185
168,434940,0,reward_12m_185,60,12m,185
169,434941,0,reward_12m_185,60,12m,185
170,434942,1,reward_12m_185,40,12m,185
171,434943,0,reward_12m_185,65,12m,185
172,434944,0,reward_12m_185,-65,12m,185
173,434945,0,reward_12m_185,60,12m,185
174,434946,1,reward_12m_185,35,12m,185
175,434947,0,reward_12m_185,60,12m,185
176,434949,1,reward_12m_185,30,12m,185
177,434952,0,reward_12m_185,60,12m,185
178,434953,1,reward_12m_185,60,12m,185
179,434954,0,reward_12m_185,60,12m,185
180,434955,0,reward_12m_185,60,12m,185
181,434957,0,reward_12m_185,55,12m,185
182,434958,0,reward_12m_185,60,12m,185
183,434959,0,reward_12m_185,55,12m,185
184,434960,0,reward_12m_185,65,12m,185
185,434961,0,reward_12m_185,60,12m,185
186,434962,0,reward_12m_185,60,12m,185
187,434963,0,reward_12m_185,57,12m,185
188,434964,0,reward_12m_185,65,12m,185
189,434966,1,reward_12m_185,45,12m,185
190,434967,0,reward_12m_185,115,12m,185
191,434968,0,reward_12m_185,60,12m,185
192,434971,0,reward_12m_185,65,12m,185
193,434974,1,reward_12m_185,55,12m,185
194,434976,0,reward_12m_185,60,12m,185
195,434977,1,reward_12m_185,60,12m,185
196,434978,0,reward_12m_185,50,12m,185
197,434979,1,reward_12m_185,50,12m,185
198,434980,0,reward_12m_185,65,12m,185
199,434981,0,reward_12m_185,60,12m,185
200,434982,0,reward_12m_185,60,12m,185
201,434983,0,reward_12m_185,60,12m,185
202,434984,0,reward_12m_185,60,12m,185
203,434985,0,reward_12m_185,60,12m,185
204,434986,1,reward_12m_185,35,12m,185
205,434988,0,reward_12m_185,60,12m,185
206,434989,0,reward_12m_185,60,12m,185
207,434990,0,reward_12m_185,60,12m,185
208,434992,0,reward_12m_185,60,12m,185
209,434993,1,reward_12m_185,40,12m,185
210,434995,1,reward_12m_185,15,12m,185
211,434996,0,reward_12m_185,60,12m,185
212,434997,0,reward_12m_185,60,12m,185
213,434998,1,reward_12m_185,25,12m,185
