worker_id,reward_12_105,reward_12_185,reward_12_25,reward_12_265,reward_12_345,reward_12_425,reward_12_505,reward_6_105,reward_6_185,reward_6_25,reward_6_265,reward_6_345,reward_6_425,reward_6_505,label_kmeans,label_gmm
435038,45,55,55,55,55,55,45,80,65,60,85,55,60,45,1,0
435039,60,50,60,60,60,60,60,60,65,60,60,60,60,60,1,0
435040,60,60,60,60,60,60,60,60,60,60,60,60,60,60,1,1
435041,60,60,60,60,60,60,60,60,60,60,60,60,60,60,1,1
435042,40,35,25,35,30,30,25,40,35,25,35,25,25,30,0,0
435043,65,60,65,65,60,61,65,60,65,65,60,65,60,60,1,0
435045,65,65,75,85,65,65,75,60,65,75,85,65,65,65,1,0
435046,15,30,50,10,10,5,10,20,20,50,10,30,5,5,0,0
435049,30,20,30,25,30,30,90,30,20,30,30,30,10,30,0,0
435052,50,50,55,45,45,45,45,50,50,55,50,45,45,45,1,0
435053,45,55,55,75,55,55,45,60,65,60,35,55,25,45,1,0
435054,60,60,60,60,60,60,60,60,60,60,60,60,60,60,1,1
435055,60,60,60,60,60,60,60,60,60,60,60,60,60,60,1,1
435056,45,35,35,35,35,35,45,45,35,35,35,35,35,45,0,0
435057,60,55,60,60,55,60,60,60,60,60,60,55,55,60,1,0
435060,30,30,30,25,30,30,30,30,30,30,30,30,30,30,0,0
435062,60,60,60,60,60,60,60,60,60,60,60,60,60,60,1,1
435063,25,15,35,35,35,25,15,15,15,45,35,35,25,45,0,0
435064,60,60,60,60,60,60,60,60,60,60,60,60,60,60,1,1
435065,15,15,35,25,35,35,15,45,15,45,35,25,25,15,0,0
435066,60,60,60,60,60,60,60,60,60,60,60,60,60,60,1,1
435067,60,60,60,60,60,60,60,60,60,60,60,60,60,60,1,1
435068,35,35,25,25,5,15,25,35,35,25,25,35,15,35,0,0
435069,60,80,60,60,60,60,60,60,60,60,60,60,60,60,1,1
435070,60,55,60,56,55,53,50,57,55,60,55,55,50,50,1,0
435072,70,35,75,45,55,55,45,50,35,50,85,55,75,45,1,0
435074,45,40,35,35,45,25,20,35,40,40,25,25,25,35,0,0
435075,60,60,60,60,60,60,60,60,-125,60,60,60,60,60,0,0
435076,20,25,50,25,30,15,20,35,25,45,15,30,15,20,0,0
435077,75,5,55,35,55,175,55,85,15,65,5,155,75,95,1,1
435079,60,60,60,60,60,60,60,60,60,60,60,60,60,60,1,1
435080,-15,45,55,60,55,60,60,45,60,60,35,60,60,60,1,1
435081,25,15,25,35,5,25,0,20,25,25,35,5,0,45,0,0
435083,60,50,60,50,60,60,60,60,60,60,50,60,60,60,1,0
435084,0,0,0,0,0,0,0,45,15,25,35,0,0,20,0,0
435086,85,65,75,85,105,75,95,95,65,75,85,105,75,95,1,0
435087,65,65,65,85,65,75,65,75,65,75,85,55,75,65,1,0
435089,55,55,60,50,50,50,50,55,55,60,-45,55,55,55,0,0
435092,60,60,60,60,60,60,60,60,60,60,60,60,60,60,1,1
435093,60,-5,60,60,60,60,0,60,0,60,0,60,50,0,0,0
435095,45,60,50,60,60,45,45,60,60,60,60,60,60,60,1,0
435096,60,60,60,60,60,60,60,60,60,60,60,60,60,60,1,1
435097,60,-40,60,60,60,60,60,60,60,60,60,60,60,60,1,1
435098,55,55,55,35,55,25,45,55,55,55,35,55,25,45,0,0
435099,65,65,65,65,55,65,65,65,65,55,65,55,65,65,1,0
435100,45,55,50,35,55,25,45,45,45,55,35,35,35,45,0,0
435101,35,15,35,25,35,-265,25,35,35,60,15,25,25,15,0,0
435103,60,60,60,60,60,60,60,60,60,60,60,60,60,60,1,1
435104,25,15,15,15,30,15,45,20,15,20,25,25,25,45,0,0
435105,60,60,60,60,60,160,60,60,60,60,60,60,60,60,1,0
435106,60,60,60,60,60,60,60,60,60,60,60,60,60,60,1,1
435107,45,25,25,35,30,25,45,45,25,35,35,40,40,45,0,0
435108,35,45,45,35,25,30,30,30,45,45,10,10,30,45,0,0
435110,60,60,60,60,60,60,60,60,60,60,60,60,60,60,1,1
435111,60,60,60,60,60,60,60,60,60,60,60,60,60,60,1,1
435113,35,45,50,35,35,35,35,35,35,50,35,35,45,35,0,0
435114,60,60,60,60,60,60,60,60,60,60,60,60,60,60,1,1
435115,55,55,55,45,50,75,45,45,45,55,45,45,50,45,1,0
435116,95,90,75,85,80,95,95,95,65,75,65,85,95,95,1,0
435117,65,-40,60,65,65,60,65,60,60,60,70,60,50,60,1,1
435118,60,60,60,60,60,60,60,60,60,60,60,60,60,60,1,1
435119,45,35,25,45,35,45,45,45,45,35,45,55,25,45,0,0
435120,80,75,75,135,105,75,95,95,75,75,85,105,75,95,1,1
435121,75,35,75,35,55,75,45,75,55,75,55,55,75,75,1,0
435122,60,60,60,60,60,60,60,60,50,60,60,60,60,60,1,0
435123,35,35,55,35,15,25,35,45,15,45,35,45,25,45,0,0
435124,55,55,60,55,55,35,45,60,55,60,55,15,45,15,0,0
435130,45,35,45,35,35,75,45,45,40,55,35,55,55,45,0,0
435131,55,55,55,55,55,55,55,55,55,55,55,55,55,55,1,0
435132,0,0,35,0,0,0,0,-45,0,35,0,0,0,0,0,0
