worker_id,label,reward_12m_105,reward_12m_185,reward_12m_25,reward_12m_265,reward_12m_345,reward_12m_425,reward_12m_505,reward_6m_105,reward_6m_185,reward_6m_25,reward_6m_265,reward_6m_345,reward_6m_425,reward_6m_505
435045,0,65,65,75,85,65,65,75,60,65,75,85,65,65,65
435046,1,15,30,50,10,10,5,10,20,20,50,10,30,5,5
435049,1,30,20,30,25,30,30,90,30,20,30,30,30,10,30
435052,0,50,50,55,45,45,45,45,50,50,55,50,45,45,45
435053,0,45,55,55,75,55,55,45,60,65,60,35,55,25,45
435054,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60
435055,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60
435056,1,45,35,35,35,35,35,45,45,35,35,35,35,35,45
435057,0,60,55,60,60,55,60,60,60,60,60,60,55,55,60
435060,1,30,30,30,25,30,30,30,30,30,30,30,30,30,30
435062,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60
435063,1,25,15,35,35,35,25,15,15,15,45,35,35,25,45
435064,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60
435065,1,15,15,35,25,35,35,15,45,15,45,35,25,25,15
435066,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60
435067,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60
435068,1,35,35,25,25,5,15,25,35,35,25,25,35,15,35
435069,0,60,80,60,60,60,60,60,60,60,60,60,60,60,60
435070,0,60,55,60,56,55,53,50,57,55,60,55,55,50,50
435072,0,70,35,75,45,55,55,45,50,35,50,85,55,75,45
435074,1,45,40,35,35,45,25,20,35,40,40,25,25,25,35
435075,1,60,60,60,60,60,60,60,60,-125,60,60,60,60,60
435076,1,20,25,50,25,30,15,20,35,25,45,15,30,15,20
435077,0,75,5,55,35,55,175,55,85,15,65,5,155,75,95
435079,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60
435080,0,-15,45,55,60,55,60,60,45,60,60,35,60,60,60
435081,1,25,15,25,35,5,25,0,20,25,25,35,5,0,45
435083,0,60,50,60,50,60,60,60,60,60,60,50,60,60,60
