model,params,se,gradient,log-likelihood,aic,bic
expo-power,"[0.995, 0.239, 0.476]","[0.001, 0.025, 0.089]","[0.228, 0.004, 0.002]",-17171.218942734744,34348.43788546949,34405.159319571016
hb-power,"[0.005, 0.224, 0.388]","[0.0, 0.014, 0.05]","[-0.175, -0.075, 0.037]",-17117.152027384716,34240.30405476943,34297.02548887096
hb2-power,"[0.069, 0.002, 0.003, 0.002]","[0.15, 0.069, 0.126, 0.078]","[39.782, 2723.938, -4002.42, 4028.658]",-17003.428199312493,34014.85639862499,34090.48497742702
hbmd-power,"[28.837, 0.357, 0.889]","[0.005, 0.0, 0.002]","[0.001, -0.161, 0.079]",-17001.673777272223,34009.347554544445,34066.06898864597
quasihb-power,"[0.997, 1.0, 0.006, 0.002]","[0.016, 0.0, 0.033, 0.015]","[307.633, 49153.387, 159.486, 360.89]",-16994.104466444616,33996.20893288923,34071.837511691265
quasihb_fc-power,"[0.997, 1.0, 0.998, 0.006, 0.002]","[0.005, 0.0, 0.005, 0.005, 0.005]","[416.565, 17071.7, -0.0, 89.819, 445.207]",-16994.09940608381,33998.19881216762,34092.73453567016
hce-power,"[0.995, 2.002, 0.12, 0.476]","[0.0, 0.005, 0.002, 0.014]","[-3.693, 0.009, -0.146, 0.003]",-17171.21894293266,34350.43788586532,34426.066464667354
attention-power,"[0.988, 1.17, 0.427, 1.579]","[0.002, 0.001, 0.001, 0.055]","[0.049, -0.004, 0.013, 0.001]",-16974.212425423695,33956.42485084739,34032.05342964942
