,period,decision_step,consumption
0,0,0,36.756793021100286
1,1,0,24.737573859455885
2,2,0,17.12869712950939
3,3,0,12.365112142875615
4,4,0,9.01182384705882
6,1,1,24.7279116371633
7,2,1,17.32572535080923
8,3,1,12.289184075669223
9,4,1,8.900385915257962
12,2,2,17.235931547021725
13,3,2,12.326488415561084
14,4,2,8.952875379153612
18,3,3,12.3259737097643
19,4,3,8.953390084950394
