model,params,se,gradient,log-likelihood,aic,bic
expo-power,"[0.994, 0.013, 0.011]","[0.001, 0.003, 0.002]","[-2.43, 0.698, -2.146]",-14202.379,28410.759,28465.147
expo-cara,"[0.743, 2.045, 0.509]","[0.001, 0.015, 0.002]","[0.0, -0.0, 0.002]",-15165.959,30337.919,30392.307
hb-power,"[0.011, 0.025, 0.021]","[0.001, 0.002, 0.002]","[-1.314, 0.111, 0.699]",-14192.353,28390.705,28445.094
hb-cara,"[0.295, 2.936, 0.398]","[0.0, 0.008, 0.0]","[-0.0, 0.0, 0.001]",-15175.382,30356.764,30411.153
hb2-power,"[0.399, 0.004, 0.002, 0.002]","[0.007, 0.007, 0.003, 0.002]","[-19.79, 1860.486, -464.905, -4091.861]",-14044.266,28096.531,28169.049
hb2-cara,"[0.036, 8.124, 2.146, 0.489]","[0.009, 0.007, 0.014, 0.042]","[0.422, 0.002, 0.001, -0.02]",-15165.669,30339.338,30411.856
hbmd-power,"[7.094, 0.146, 0.171]","[0.021, 0.001, 0.0]","[0.0, 0.0, -0.001]",-13928.87,27863.74,27918.129
hbmd-cara,"[3.453, 2.461, 0.389]","[0.002, 0.003, 0.0]","[0.0, 0.0, -0.001]",-15155.59,30317.179,30371.568
quasihb-power,"[0.999, 0.999, 0.001, 0.001]","[0.004, 0.003, 0.009, 0.007]","[-3271.168, -2270.061, 464.412, -3364.671]",-14062.506,28133.012,28205.53
quasihb-cara,"[0.943, 0.784, 2.294, 0.465]","[0.003, 0.003, 0.042, 0.003]","[-0.001, -0.001, 0.0, 0.001]",-15162.805,30333.61,30406.128
quasihb_fc-power,"[0.999, 0.999, 0.993, 0.001, 0.001]","[0.006, 0.002, 0.007, 0.005, 0.004]","[-194.245, 48.558, -0.001, 26.25, -65.63]",-14062.496,28134.992,28225.639
quasihb_fc-cara,"[0.943, 0.784, 1.082, 2.294, 0.465]","[0.01, 0.005, 0.007, 0.04, 0.013]","[0.001, 0.003, 0.0, 0.0, 0.003]",-15162.805,30335.61,30426.257
hce-cara,"[0.743, 99.837, 2.071, 0.509]","[0.0, 0.007, 0.015, 0.001]","[0.001, -0.003, -0.001, -0.001]",-15166.235,30340.469,30412.987
attention-power,"[1.0, 1.381, 0.183, 0.34]","[0.001, 0.007, 0.002, 0.007]","[-449.412, -59.389, 566.675, 109.72]",-14175.243,28358.487,28431.005
attention-cara,"[0.806, 0.654, 0.848, 0.42]","[0.001, 0.0, 0.008, 0.001]","[-0.0, 0.001, 0.0, -0.0]",-15141.81,30291.62,30364.138
attention_uni-log,"[1.295, 1.505, 0.384, 0.282]","[0.004, 0.005, 0.001, 0.001]","[0.0, 0.0, -0.0, 0.001]",-13992.422,27992.844,28065.363
attention_uni-power,"[1.37, 0.181, 0.334]","[0.006, 0.0, 0.001]","[0.001, -0.005, -0.001]",-14174.726,28355.452,28409.84
