,period,decision_step,consumption
0,0,0,36.957934586918455
1,1,0,24.638437475563205
2,2,0,17.087549670776887
3,3,0,12.37678188069849
4,4,0,8.939296386042983
6,1,1,29.005287423199523
7,2,1,16.388998912635653
8,3,1,10.519715097180514
9,4,1,7.128063980065855
12,2,2,18.570341980490948
13,3,2,9.526120366816182
14,4,2,5.9403156425748955
18,3,3,10.045420932651279
19,4,3,5.4210150767398
