,var_name,coef,bse,p_value,lower_bound,upper_bound
0,const,-8.156662756156795,1.5570571053945554,1.6187621310059797e-07,-11.20843860460231,-5.104886907711279
1,group_value,-0.0256580512814474,1.7766415699603206,0.9884774443498143,-3.5078115418403746,3.4564954392774796
2,part_control,0.27378521560797453,0.8443666118180387,0.7457493607547654,-1.3811429333034937,1.9287133645194428
3,part_treatment,0.5083318469081979,0.7721305836883339,0.5103135247953718,-1.0050162884828266,2.021679982299222
4,front_ratio_0.2,-0.7169824131332636,0.9850043129636433,0.46667618684344747,-2.6475553911586243,1.2135905648920973
5,front_ratio_0.3,-0.8685271936750952,0.9814463221075453,0.3761856484646926,-2.792126637765181,1.0550722504149905
6,front_ratio_0.4,-0.6527940856624073,0.9809432239085787,0.5057461459424499,-2.5754074754018315,1.269819304077017
7,front_ratio_0.5,-0.48939031402883026,0.9792911782866975,0.6172586375099929,-2.4087657538485505,1.42998512579089
8,front_ratio_0.6,-1.21568912356682,0.9811025818887382,0.21530661226397818,-3.1386148492080057,0.7072366020743661
9,single_amount_240,0.5040270074371952,0.8008938332028992,0.52913263332273,-1.0656960610807165,2.073750075955107
10,single_amount_280,1.7067933306418657,0.8000778009080184,0.03290141962019555,0.13866965603214187,3.2749170052515897
11,single_amount_320,1.2304967705967922,0.8004819711622302,0.12424559897428566,-0.3384190631548092,2.799412604348394
