dstyle,ustyle,params,mse,mae,log_loss,accuracy,pred_ll
heuristic,--,,0.30035777962932986,0.30035777962932986,0.584141063410739,0.6996422203706701,
trade,power,[ 0.762  1.801 79.071 96.457  1.522  2.802],0.20472266674651754,0.40905679974929876,0.5976681812857926,0.6900754350048464,0.23947813028760442
attention,power,[0.995 7.861 1.309 1.778],0.20672389336851227,0.4130379455268015,0.6034052097828768,0.6898820269100631,0.2413202932442989
attention_uni,power,[9.693 1.382 2.231],0.20686402411535537,0.4148463447389578,0.6034907092164402,0.6904117901994612,0.2410885477234904
attention_uni,cara,[0.008 0.002 0.002],0.2076283551533729,0.4164032463809062,0.6051730667599066,0.6895898647313599,0.2323336893105162
trade,cara,[1.101e+00 1.402e+00 1.077e+01 1.700e-02 3.000e-03 2.000e-03],0.20830447188096693,0.416648516210533,0.6055439375088265,0.682686680509026,0.25586290989290894
hbmd,power,[0.224 1.724 5.294],0.20838929785745103,0.41765295976642475,0.6068263777199199,0.6870515394418937,0.30478159210211253
attention,cara,[0.995 0.28  0.05  0.063],0.21024485031437395,0.42041912532809456,0.6105514996436131,0.6808851873851568,0.20405634137529094
hbmd,cara,[9.6567e+01 1.9000e-02 1.5000e-02],0.21278723857334908,0.42566122081126717,0.6156562774501877,0.6719656844984042,0.2446934256422435
hb2,power,[0.369 0.264 0.938 0.957],0.22000442547384652,0.440376471428496,0.6319032609723334,0.6588770853598767,0.2739956408189827
expo2,cara,[0.792 0.819 0.519 0.004 0.004],0.22001780913527083,0.44121210916736225,0.6319077676582552,0.6590839032326167,0.28530254541171807
expo2,power,[0.781 0.562 0.67  0.931 0.94 ],0.22003479578920868,0.440380921834409,0.6319436926620103,0.6587010672929957,0.27264898786412173
quasihb_fc,cara,[0.964 0.948 0.768 0.005 0.006],0.22009327846202345,0.4408434920247122,0.6320129415075366,0.6584346879492003,0.27980211881170025
quasihb,cara,[0.958 0.951 0.005 0.005],0.2201104638685188,0.4409225275194233,0.632082920470308,0.6598878645253644,0.28809497289957153
quasihb,power,[0.959 0.951 0.927 0.938],0.22015239061807615,0.44060856871856097,0.632122048279584,0.6566536425698417,0.2747743016040488
quasihb_fc,power,[0.959 0.951 1.25  0.927 0.938],0.22015239102252265,0.44060855573431673,0.6321220548777233,0.6566536425698417,0.2747743016040488
hb,cara,[0.07  0.002 0.002],0.22049552406526352,0.44176628489653347,0.6327626325758758,0.6548586189295443,0.2700608427841288
hb,power,[0.071 1.038 1.313],0.22057744797286852,0.4415897004355642,0.6330244302156595,0.6556217480874295,0.2776328303329073
hb2,cara,[0.164 1.475 0.003 0.004],0.22057023073753262,0.4419391872116676,0.6330418631772481,0.6562645192682297,0.2732144148481121
expo,cara,[0.941 0.002 0.002],0.2211087162478315,0.44290841893599897,0.6340644185926342,0.6554051363482043,0.277672184898453
expo,power,[0.941 1.029 1.302],0.22116018215095204,0.4427154654567966,0.6342320392047471,0.6552068328752771,0.2801954007104522
hce,power,[0.941 2.723 0.729 1.302],0.22116018297244544,0.44271546273036366,0.6342320410570332,0.6552068328752771,0.2801954007104522
hce,cara,[9.340e-01 2.698e+00 5.000e-03 2.000e-03],0.22114119519573036,0.44311336995274686,0.6346743616687776,0.6562978998288773,0.3223793345292088
