"","prolific_id","duration","pid","choice","cond","a_rw","b_fixed_rw","b_delay","b_vary_rw","pred_logit","u_a_rw","u_b_vary_rw","pred_logit_u"
"32","5e61f36dc7061b0c396928f2",450,"32",0,"Immed_Rw_Vary",10,5,1,1,1.61387355077978e-07,3.15438328786585,0.561638966584927,1.12187950734208e-08
"33","63e538b2184766a67a99e21f",456,"33",0,"Immed_Rw_Vary",10,5,1,1,1.53510257629874e-06,3.15438328786585,0.561638966584927,1.02600516207051e-07
"34","5eb2695f1745801c7c919e35",457,"34",0,"Immed_Rw_Vary",10,5,1,1,1.05299632951885e-07,3.15438328786585,0.561638966584927,7.46313459011807e-09
"35","62ac8d0f43899ef5bc8a356e",458,"35",0,"Immed_Rw_Vary",10,5,1,1,6.2892957295435e-06,3.15438328786585,0.561638966584927,4.40781193666432e-07
"36","62fba53513976370a94eae5b",459,"36",0,"Immed_Rw_Vary",10,5,1,1,1.5474128023278e-08,3.15438328786585,0.561638966584927,1.23043851365891e-09
"37","6310dd3d80bd9d026ec14c48",463,"37",0,"Immed_Rw_Vary",10,5,1,1,4.11034456690853e-06,3.15438328786585,0.561638966584927,2.82084886349317e-07
"38","642c458eb9b6df4d0652de9f",466,"38",0,"Immed_Rw_Vary",10,5,1,1,1.492068561429e-05,3.15438328786585,0.561638966584927,1.10975628924221e-06
"39","65099cbb58444cc0ed9f5575",468,"39",0,"Immed_Rw_Vary",10,5,1,1,3.57599434792751e-09,3.15438328786585,0.561638966584927,3.17229356163667e-10
"40","5ddd631f063ebd000dbe0687",469,"40",0,"Immed_Rw_Vary",10,5,1,1,9.662278634542e-06,3.15438328786585,0.561638966584927,6.95703404178358e-07
"41","5d53c753cdaa7a000101dd14",471,"41",0,"Immed_Rw_Vary",10,5,1,1,5.45580680106711e-06,3.15438328786585,0.561638966584927,3.79444305612195e-07
"42","64137637072cad5ece2ec192",473,"42",0,"Immed_Rw_Vary",10,5,1,1,1.49206856142903e-05,3.15438328786585,0.561638966584927,1.10975628924222e-06
"43","5d0a55583fe972001ad92dfd",475,"43",0,"Immed_Rw_Vary",10,5,1,1,1.1161179393768e-05,3.15438328786585,0.561638966584927,8.11912809877456e-07
"44","6367f1dfd122ad6cbbcbc849",477,"44",0,"Immed_Rw_Vary",10,5,1,1,2.34007695879387e-06,3.15438328786585,0.561638966584927,1.57600526338063e-07
"45","54240de1fdf99b691fb383a8",477,"45",0,"Immed_Rw_Vary",10,5,1,1,1.492068561429e-05,3.15438328786585,0.561638966584927,1.10975628924221e-06
"46","636cc5fa559ec4d93e272972",482,"46",0,"Immed_Rw_Vary",10,5,1,1,1.05299632951883e-07,3.15438328786585,0.561638966584927,7.46313459011788e-09
"47","628f6b8837248d46a50776f7",487,"47",0,"Immed_Rw_Vary",10,5,1,1,7.25339926853342e-06,3.15438328786585,0.561638966584927,5.12609112416628e-07
"48","6349846837c4eb9c40269ba7",490,"48",0,"Immed_Rw_Vary",10,5,1,1,1.17031728980275e-09,3.15438328786585,0.561638966584927,1.13544671376329e-10
"49","5f8586b33e4d65036ae018f9",493,"49",0,"Immed_Rw_Vary",10,5,1,1,4.11034456690851e-06,3.15438328786585,0.561638966584927,2.82084886349315e-07
"50","62c53da662a6fb85b6c814a1",495,"50",0,"Immed_Rw_Vary",10,5,1,1,2.69335483384436e-06,3.15438328786585,0.561638966584927,1.82075881214485e-07
"51","5bad47432b86390001ccda32",495,"51",0,"Immed_Rw_Vary",10,5,1,1,1.33382376002481e-06,3.15438328786585,0.561638966584927,8.90260695227004e-08
"52","5bc0b1bb63cb210001cf55ba",498,"52",0,"Immed_Rw_Vary",10,5,1,1,5.45580680106711e-06,3.15438328786585,0.561638966584927,3.79444305612196e-07
"53","5fa40b2f3fbded08ed561c30",500,"53",0,"Immed_Rw_Vary",10,5,1,1,1.40030466955846e-07,3.15438328786585,0.561638966584927,9.79394851935414e-09
"54","5fcf9c90465b1c09b44e6588",504,"54",0,"Immed_Rw_Vary",10,5,1,1,1.1161179393768e-05,3.15438328786585,0.561638966584927,8.11912809877442e-07
"55","6500610c8659204538e08e8c",506,"55",0,"Immed_Rw_Vary",10,5,1,1,4.73469625869175e-06,3.15438328786585,0.561638966584927,3.26995646519225e-07
"56","5d9c7de1524d130014b78acd",509,"56",0,"Immed_Rw_Vary",10,5,1,1,5.73745563804581e-07,3.15438328786585,0.561638966584927,3.84255435638631e-08
"57","5c80e889a1d4b900114f2be3",520,"57",0,"Immed_Rw_Vary",10,5,1,1,3.76278700799794e-07,3.15438328786585,0.561638966584927,2.54167206452893e-08
"58","5a799309f49c9a0001f31396",530,"58",0,"Immed_Rw_Vary",10,5,1,1,2.69335483384435e-06,3.15438328786585,0.561638966584927,1.82075881214484e-07
"59","61702e62e0b2f068818c8e46",533,"59",0,"Immed_Rw_Vary",10,5,1,1,1.11611793937678e-05,3.15438328786585,0.561638966584927,8.11912809877456e-07
"60","603d59d3b54e6cc7c1bfbfdc",535,"60",0,"Immed_Rw_Vary",10,5,1,1,9.6763117452767e-09,3.15438328786585,0.561638966584927,7.95682516881588e-10
"61","5c10d344a577d50001bb6127",535,"61",0,"Immed_Rw_Vary",10,5,1,1,3.5693713616906e-06,3.15438328786585,0.561638966584927,2.4357469317304e-07
"62","6148a7d9b19a2b4c5c9dff87",536,"62",0,"Immed_Rw_Vary",10,5,1,1,5.4558068010671e-06,3.15438328786585,0.561638966584927,3.79444305612193e-07
"63","5d6d729b679b200019c12498",541,"63",0,"Immed_Rw_Vary",10,5,1,1,1.61387355077973e-07,3.15438328786585,0.561638966584927,1.12187950734214e-08
"64","5c8e9e97112f870001b12bb9",545,"64",0,"Immed_Rw_Vary",10,5,1,1,4.11034456690855e-06,3.15438328786585,0.561638966584927,2.82084886349315e-07
"65","54a439f9fdf99b5010dca84e",547,"65",0,"Immed_Rw_Vary",10,5,1,1,5.03426781230276e-09,3.15438328786585,0.561638966584927,4.34868382956625e-10
"66","5bfb295e975ee0000169a15d",563,"66",0,"Immed_Rw_Vary",10,5,1,1,1.49206856142905e-05,3.15438328786585,0.561638966584927,1.10975628924221e-06
"67","6139e77dd4e85f2650aa3da2",564,"67",0,"Immed_Rw_Vary",10,5,1,1,3.26891476597955e-07,3.15438328786585,0.561638966584927,2.21638481220103e-08
"68","5ca519cefed17500015f80f2",572,"68",0,"Immed_Rw_Vary",10,5,1,1,2.34007695879387e-06,3.15438328786585,0.561638966584927,1.5760052633806e-07
"69","608dfd57171f093e9221ffa4",572,"69",0,"Immed_Rw_Vary",10,5,1,1,2.69335483384439e-06,3.15438328786585,0.561638966584927,1.82075881214482e-07
"70","63c7cd1978d4e762c6e4b6e0",574,"70",0,"Immed_Rw_Vary",10,5,1,1,1.21454856892573e-07,3.15438328786585,0.561638966584927,8.5498412531677e-09
"71","5d14f3280e6b36001b1a10ef",578,"71",0,"Immed_Rw_Vary",10,5,1,1,2.46631498627291e-07,3.15438328786585,0.561638966584927,1.68697095353636e-08
"72","634bd25388a86856529729a4",578,"72",0,"Immed_Rw_Vary",10,5,1,1,1.492068561429e-05,3.15438328786585,0.561638966584927,1.10975628924221e-06
"73","5db5f2196a72a3000cc54aa4",578,"73",0,"Immed_Rw_Vary",10,5,1,1,3.81702723104816e-08,3.15438328786585,0.561638966584927,2.86103653595726e-09
"74","5ea9c855284e73063120d716",579,"74",0,"Immed_Rw_Vary",10,5,1,1,1.49206856142899e-05,3.15438328786585,0.561638966584927,1.1097562892422e-06
"75","5c838a63532afd001506fd34",581,"75",0,"Immed_Rw_Vary",10,5,1,1,4.33101528680945e-07,3.15438328786585,0.561638966584927,2.91582283363254e-08
"76","5b731044b9daa700013fb269",586,"76",0,"Immed_Rw_Vary",10,5,1,1,5.4558068010671e-06,3.15438328786585,0.561638966584927,3.79444305612196e-07
"77","59e879752f63d30001c8fb9f",587,"77",0,"Immed_Rw_Vary",10,5,1,1,3.56937136169063e-06,3.15438328786585,0.561638966584927,2.43574693173043e-07
"78","607d91eab8be13e8c81257aa",590,"78",0,"Immed_Rw_Vary",10,5,1,1,5.45580680106711e-06,3.15438328786585,0.561638966584927,3.79444305612193e-07
"79","5c6563e20d80fd0001425671",593,"79",0,"Immed_Rw_Vary",10,5,1,1,6.28929572954354e-06,3.15438328786585,0.561638966584927,4.40781193666427e-07
"80","6328ae7d5a25f6856525135b",599,"80",0,"Immed_Rw_Vary",10,5,1,1,5.4558068010671e-06,3.15438328786585,0.561638966584927,3.79444305612196e-07
"81","5b1bcd1d88ee7400012b0707",605,"81",0,"Immed_Rw_Vary",10,5,1,1,2.46631498627292e-07,3.15438328786585,0.561638966584927,1.68697095353634e-08
"82","6303c94be7331161d7bb9f19",608,"82",0,"Immed_Rw_Vary",10,5,1,1,1.54741280232775e-08,3.15438328786585,0.561638966584927,1.23043851365887e-09
"83","63e6486d66673348b5496352",620,"83",0,"Immed_Rw_Vary",10,5,1,1,1.492068561429e-05,3.15438328786585,0.561638966584927,1.10975628924219e-06
"84","57b4aaf1cda70d0001534838",622,"84",0,"Immed_Rw_Vary",10,5,1,1,2.1417164976709e-07,3.15438328786585,0.561638966584927,1.47229323741536e-08
"85","583c682a9d65770001cebb77",631,"85",0,"Immed_Rw_Vary",10,5,1,1,2.03326355997188e-06,3.15438328786585,0.561638966584927,1.3650733692208e-07
"86","59b6b49259f3df0001e086e5",631,"86",0,"Immed_Rw_Vary",10,5,1,1,1.73020436741494e-09,3.15438328786585,0.561638966584927,1.62592068349149e-10
"87","5f44f89def5e4103a4ac8389",637,"87",0,"Immed_Rw_Vary",10,5,1,1,2.34007695879387e-06,3.15438328786585,0.561638966584927,1.57600526338062e-07
"88","63dad9e2dd58781d74bfa642",641,"88",0,"Immed_Rw_Vary",10,5,1,1,2.03326355997187e-06,3.15438328786585,0.561638966584927,1.36507336922078e-07
"89","644016d98e4c23d7fa37632e",644,"89",0,"Immed_Rw_Vary",10,5,1,1,1.72699644049843e-05,3.15438328786585,0.561638966584927,1.29980254888246e-06
"90","637b9edf2a2055bf16796ae6",647,"90",0,"Immed_Rw_Vary",10,5,1,1,7.60065118057219e-07,3.15438328786585,0.561638966584927,5.07381213488368e-08
"91","63e528d1a9ece4b6addd5f2d",653,"91",0,"Immed_Rw_Vary",10,5,1,1,3.76278700799798e-07,3.15438328786585,0.561638966584927,2.54167206452894e-08
"92","63ef449e94b95597ed09185d",656,"92",0,"Immed_Rw_Vary",10,5,1,1,5.1177301746086e-08,3.15438328786585,0.561638966584927,3.76972852817036e-09
"93","5a623dabb9e3b50001a6e09e",658,"93",0,"Immed_Rw_Vary",10,5,1,1,1.29004653964982e-05,3.15438328786585,0.561638966584927,9.48656362021672e-07
"94","60d0709ffc9b494cf65a266c",660,"94",0,"Immed_Rw_Vary",10,5,1,1,1.61387355077975e-07,3.15438328786585,0.561638966584927,1.1218795073421e-08
"95","602cc4e8166df75e2ff9d443",662,"95",0,"Immed_Rw_Vary",10,5,1,1,4.73469625869176e-06,3.15438328786585,0.561638966584927,3.26995646519222e-07
"96","5f5a785cfbf1061461451d9a",663,"96",0,"Immed_Rw_Vary",10,5,1,1,1.766716362071e-06,3.15438328786585,0.561638966584927,1.18311087673204e-07
"97","644012b350963a139bc333c0",675,"97",0,"Immed_Rw_Vary",10,5,1,1,1.53510257629873e-06,3.15438328786585,0.561638966584927,1.02600516207048e-07
"98","615ec0557ed77fa14b565382",678,"98",0,"Immed_Rw_Vary",10,5,1,1,3.81702723104816e-08,3.15438328786585,0.561638966584927,2.86103653595739e-09
"99","5f088ba29bf08d0b3885f726",678,"99",0,"Immed_Rw_Vary",10,5,1,1,3.10031458832916e-06,3.15438328786585,0.561638966584927,2.10507274215088e-07
"100","5eb50e5315a3c137f40cbad3",689,"100",0,"Immed_Rw_Vary",10,5,1,1,3.76278700799796e-07,3.15438328786585,0.561638966584927,2.54167206452896e-08
"101","63e51bcabf370d509e9a93b0",691,"101",0,"Immed_Rw_Vary",10,5,1,1,3.10031458832915e-06,3.15438328786585,0.561638966584927,2.1050727421509e-07
"102","5f0467f1f388fe6b286d6b69",701,"102",0,"Immed_Rw_Vary",10,5,1,1,5.45580680106711e-06,3.15438328786585,0.561638966584927,3.79444305612193e-07
"103","65080e18a78705b9c48fe8e5",704,"103",0,"Immed_Rw_Vary",10,5,1,1,1.492068561429e-05,3.15438328786585,0.561638966584927,1.10975628924221e-06
"104","5b2b9d0c7f7816000146aca4",708,"104",0,"Immed_Rw_Vary",10,5,1,1,7.90371277927863e-08,3.15438328786585,0.561638966584927,5.68377240451899e-09
"105","62966289dc2720a7bbedb8f8",713,"105",0,"Immed_Rw_Vary",10,5,1,1,9.67631174527711e-09,3.15438328786585,0.561638966584927,7.95682516881588e-10
"106","5f4e389555e3b9b30666d8cf",718,"106",0,"Immed_Rw_Vary",10,5,1,1,1.49206856142901e-05,3.15438328786585,0.561638966584927,1.1097562892422e-06
"107","60ee1474e6467957994ce2ff",723,"107",0,"Immed_Rw_Vary",10,5,1,1,1.49206856142901e-05,3.15438328786585,0.561638966584927,1.10975628924221e-06
"108","6401bd52596eb86ff415a0d8",728,"108",0,"Immed_Rw_Vary",10,5,1,1,1.49206856142899e-05,3.15438328786585,0.561638966584927,1.1097562892422e-06
"109","5ed2bdf295ed8f251d614b21",729,"109",0,"Immed_Rw_Vary",10,5,1,1,7.01109540290366e-09,3.15438328786585,0.561638966584927,5.90509073478407e-10
"110","5dcc836b6a24b5912d7c33f4",735,"110",0,"Immed_Rw_Vary",10,5,1,1,4.73469625869178e-06,3.15438328786585,0.561638966584927,3.26995646519222e-07
"111","6400ddd1516fb2fc8a62fd46",749,"111",0,"Immed_Rw_Vary",10,5,1,1,1.11611793937679e-05,3.15438328786585,0.561638966584927,8.11912809877457e-07
"112","5f632eba01d0853da2464c44",768,"112",0,"Immed_Rw_Vary",10,5,1,1,2.10038627663939e-08,3.15438328786585,0.561638966584927,1.63567804052105e-09
"113","5ceb011d2e4f1700162a8bca",770,"113",0,"Immed_Rw_Vary",10,5,1,1,1.49206856142901e-05,3.15438328786585,0.561638966584927,1.10975628924221e-06
"114","5e31a1526ef37a1879a94441",775,"114",0,"Immed_Rw_Vary",10,5,1,1,5.45580680106711e-06,3.15438328786585,0.561638966584927,3.79444305612193e-07
"115","5f84ac968dc8711503beeb19",809,"115",0,"Immed_Rw_Vary",10,5,1,1,1.49206856142901e-05,3.15438328786585,0.561638966584927,1.10975628924222e-06
"116","5ea083cc6d17e505304ab238",815,"116",0,"Immed_Rw_Vary",10,5,1,1,5.45580680106711e-06,3.15438328786585,0.561638966584927,3.79444305612192e-07
"117","59cbc66c4374e1000125c8b5",819,"117",0,"Immed_Rw_Vary",10,5,1,1,3.762787007998e-07,3.15438328786585,0.561638966584927,2.54167206452895e-08
"118","5da9bb47c19ff3001516bcc3",821,"118",0,"Immed_Rw_Vary",10,5,1,1,1.11611793937679e-05,3.15438328786585,0.561638966584927,8.11912809877453e-07
"119","631624eda5f1f762834e370d",826,"119",0,"Immed_Rw_Vary",10,5,1,1,3.10031458832916e-06,3.15438328786585,0.561638966584927,2.10507274215089e-07
"120","60a0fa7c78f0ecce1f9d8a65",841,"120",0,"Immed_Rw_Vary",10,5,1,1,5.91933612105516e-08,3.15438328786585,0.561638966584927,4.32420064523977e-09
"121","593871d4536c28000168c04c",847,"121",0,"Immed_Rw_Vary",10,5,1,1,2.44250644218702e-08,3.15438328786585,0.561638966584927,1.88320723018947e-09
"122","5c116a5669555600014a6618",847,"122",0,"Immed_Rw_Vary",10,5,1,1,1.32540124679517e-08,3.15438328786585,0.561638966584927,1.06542927860629e-09
"123","6346c4b13753efab830182aa",858,"123",0,"Immed_Rw_Vary",10,5,1,1,1.49206856142899e-05,3.15438328786585,0.561638966584927,1.1097562892422e-06
"124","5ea045b29cb1f005b19a4b32",862,"124",0,"Immed_Rw_Vary",10,5,1,1,2.03326355997188e-06,3.15438328786585,0.561638966584927,1.36507336922079e-07
"125","5ee918138ebaec11a52bb459",877,"125",0,"Immed_Rw_Vary",10,5,1,1,1.492068561429e-05,3.15438328786585,0.561638966584927,1.1097562892422e-06
"126","60ccc83bea0576d2f30da90b",877,"126",0,"Immed_Rw_Vary",10,5,1,1,1.40030466955853e-07,3.15438328786585,0.561638966584927,9.79394851935372e-09
"127","61fa9016d42cb19beec49061",890,"127",0,"Immed_Rw_Vary",10,5,1,1,7.25339926853344e-06,3.15438328786585,0.561638966584927,5.12609112416628e-07
"128","64fc6f8d2cfa64d8485ea3d2",912,"128",0,"Immed_Rw_Vary",10,5,1,1,2.34007695879387e-06,3.15438328786585,0.561638966584927,1.57600526338062e-07
"129","58bd6fb131de840001e84778",913,"129",0,"Immed_Rw_Vary",10,5,1,1,2.83959170217694e-07,3.15438328786585,0.561638966584927,1.93337438397208e-08
"130","643302970ed09ef53c35bdbf",914,"130",0,"Immed_Rw_Vary",10,5,1,1,2.46631498627293e-07,3.15438328786585,0.561638966584927,1.68697095353631e-08
"131","5dd6d94cbca2e466ca211b0d",950,"131",0,"Immed_Rw_Vary",10,5,1,1,2.31970933924561e-05,3.15438328786585,0.561638966584927,1.79010689687572e-06
"132","5a9dd20b4eecca0001dd9f1d",957,"132",0,"Immed_Rw_Vary",10,5,1,1,2.46631498627291e-07,3.15438328786585,0.561638966584927,1.68697095353632e-08
"133","6448f68c3ba5a3f969d1e90d",967,"133",0,"Immed_Rw_Vary",10,5,1,1,1.40030466955851e-07,3.15438328786585,0.561638966584927,9.79394851935389e-09
"134","60c283d8d82adfb1f4930352",995,"134",0,"Immed_Rw_Vary",10,5,1,1,2.83721815534671e-08,3.15438328786585,0.561638966584927,2.16642602900022e-09
"135","5d096a5687e03b000176305c",1060,"135",0,"Immed_Rw_Vary",10,5,1,1,3.10031458832912e-06,3.15438328786585,0.561638966584927,2.10507274215091e-07
"136","61530f3f4db7af4a8e5ea998",1062,"136",0,"Immed_Rw_Vary",10,5,1,1,9.66227863454203e-06,3.15438328786585,0.561638966584927,6.95703404178353e-07
"137","5932ccd3cf0d9600010e91c3",1076,"137",0,"Immed_Rw_Vary",10,5,1,1,1.61387355077975e-07,3.15438328786585,0.561638966584927,1.12187950734213e-08
"138","5a3681bf9f2e74000138022e",1078,"138",0,"Immed_Rw_Vary",10,5,1,1,3.29238321979926e-08,3.15438328786585,0.561638966584927,2.49042689318199e-09
"139","646dc9848e53ff1705d8c9c5",1079,"139",0,"Immed_Rw_Vary",10,5,1,1,9.66227863454186e-06,3.15438328786585,0.561638966584927,6.9570340417836e-07
"140","5815a5f000b325000184db51",1132,"140",0,"Immed_Rw_Vary",10,5,1,1,9.66227863454193e-06,3.15438328786585,0.561638966584927,6.95703404178355e-07
"141","56bb6364724769000cb8ec0a",1172,"141",0,"Immed_Rw_Vary",10,5,1,1,1.00690150783916e-06,3.15438328786585,0.561638966584927,6.71367970278485e-08
"142","63d6e48aa809ba6cdad6c98f",1235,"142",0,"Immed_Rw_Vary",10,5,1,1,4.9849011677863e-07,3.15438328786585,0.561638966584927,3.34648834963094e-08
"143","595ceea8dd044900012ce64a",1258,"143",0,"Immed_Rw_Vary",10,5,1,1,3.87356554645741e-10,3.15438328786585,0.561638966584927,4.14283776022323e-11
"144","5f68c02bfe85b202e0f00cc7",1270,"144",0,"Immed_Rw_Vary",10,5,1,1,7.60065118057212e-07,3.15438328786585,0.561638966584927,5.07381213488368e-08
"145","60fd3550ce3b9e1db06ff673",1272,"145",0,"Immed_Rw_Vary",10,5,1,1,1.49206856142901e-05,3.15438328786585,0.561638966584927,1.1097562892422e-06
"146","5feca66d15b59bde2e9d0cdf",1281,"146",0,"Immed_Rw_Vary",10,5,1,1,2.14171649767096e-07,3.15438328786585,0.561638966584927,1.47229323741535e-08
